"ISSUE_SEVERITY","PROBLEM_TITLE","CWE","PROJECT_NAME","FIRST_INTRODUCED","ISSUE_STATUS","LAST_INTRODUCED","LAST_RESOLVED","PROBLEM_ID","LAST_IGNORED","PROJECT_OWNER","ISSUE_URL","VULN_DB_URL","PROJECT_URL","ISSUE_STATUS_INDICATOR","ISSUE_TYPE","INITIAL_ISSUE_TYPE"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-10 19:03:21.670","\N","d3be48a7-8cd9-494f-bff6-9f0fec863ca0","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-d3be48a7-8cd9-494f-bff6-9f0fec863ca0","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","67a4c12d-4917-488d-9f7e-f063e49c4942","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-67a4c12d-4917-488d-9f7e-f063e49c4942","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","38dfc9a9-a395-4a8b-af03-e5ee90de8c3d","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-38dfc9a9-a395-4a8b-af03-e5ee90de8c3d","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","c0343df2-d6dd-4d73-95ed-0bd4d9a45a2a","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-c0343df2-d6dd-4d73-95ed-0bd4d9a45a2a","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","8dc16dbd-6cc9-439b-9293-733a3c10f1ea","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-8dc16dbd-6cc9-439b-9293-733a3c10f1ea","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","028f2f7f-77f2-456e-ad1e-c3972a8f6544","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-028f2f7f-77f2-456e-ad1e-c3972a8f6544","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","fde17c06-d627-44db-a953-236b751fe5f7","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-fde17c06-d627-44db-a953-236b751fe5f7","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","988c5ad4-a9d1-49be-99b7-6e23c9f46827","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-988c5ad4-a9d1-49be-99b7-6e23c9f46827","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","cdf1c5a5-7973-4764-8bba-f62e0203be23","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-cdf1c5a5-7973-4764-8bba-f62e0203be23","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","4a800a8f-9a3f-4189-ae58-3cc3d384038a","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-4a800a8f-9a3f-4189-ae58-3cc3d384038a","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","cc7ea21f-86ce-47e2-8d80-ae145b4a7e88","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-cc7ea21f-86ce-47e2-8d80-ae145b4a7e88","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-16 19:17:26.845","2022-11-15 18:51:52.021","13751c06-f9e8-4be3-b13f-944e8c9286ad","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-13751c06-f9e8-4be3-b13f-944e8c9286ad","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-11 18:56:39.402","Open","2022-11-15 18:51:52.014","2022-11-14 19:45:27.112","7a8734aa-9eab-471c-b639-24a665625d79","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-7a8734aa-9eab-471c-b639-24a665625d79","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-10 19:03:21.670","\N","f29c8966-43fa-43ce-9649-3158cea39163","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-f29c8966-43fa-43ce-9649-3158cea39163","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-10 19:03:21.670","\N","e715383f-0e5f-47f9-b763-b76fee592ce5","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-e715383f-0e5f-47f9-b763-b76fee592ce5","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
"High","Hardcoded Secret","[""CWE-547""]","smb-automated-testing/indeed-smb-shield-data-generation","2022-11-10 19:03:21.670","Open","2022-11-10 19:03:21.670","\N","d37f2ccd-198f-4c86-abd1-14d37904863d","\N","exp_jilboud","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd#issue-d37f2ccd-198f-4c86-abd1-14d37904863d","\N","https://app.snyk.io/org/smb-automated-testing/project/d73aa793-5bee-4e5a-a9b3-1c73582b3fdd","Open","Vulnerability","CODE_SECURITY_VULNERABILITY"
